"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment"
"1","4.78","INTERPRO","Immunoregulatory_rcpt-like","7","91","29","23270","5.60","1.25e-9","4.04e-7","61.72"
"1","4.78","GOTERM_MF_DIRECT","MHC class I protein binding","7","72","37","18929","5.60","4.76e-9","1.02e-6","49.74"
"1","4.78","INTERPRO","Ig-like_fold","9","91","1182","23270","7.20","8.68e-2","1.00e+0","1.95"
"1","4.78","INTERPRO","Ig-like_dom_sf","7","91","921","23270","5.60","1.46e-1","1.00e+0","1.94"
"2","2.29","SMART","SEA","3","40","9","11094","2.40","4.27e-4","2.48e-2","92.45"
"2","2.29","INTERPRO","SEA_dom_sf","3","91","20","23270","2.40","2.69e-3","2.87e-1","38.36"
"2","2.29","INTERPRO","SEA_dom","3","91","23","23270","2.40","3.55e-3","2.87e-1","33.35"
"2","2.29","UP_SEQ_FEATURE","DOMAIN:SEA","3","88","23","22289","2.40","3.61e-3","6.58e-1","33.04"
"2","2.29","INTERPRO","EGF-like_dom","3","91","241","23270","2.40","2.39e-1","1.00e+0","3.18"
"3","1.50","INTERPRO","Claudin_CS","3","91","22","23270","2.40","3.25e-3","2.87e-1","34.87"
"3","1.50","INTERPRO","Claudin","3","91","36","23270","2.40","8.56e-3","3.95e-1","21.31"
"3","1.50","GOTERM_CC_DIRECT","tight junction","3","90","41","21433","2.40","1.26e-2","9.69e-1","17.43"
"3","1.50","KEGG_PATHWAY","Leukocyte transendothelial migration","4","43","120","9898","3.20","1.41e-2","5.31e-1","7.67"
"3","1.50","KEGG_PATHWAY","Virion - Hepatitis viruses","3","43","51","9898","2.40","1.97e-2","5.31e-1","13.54"
"3","1.50","INTERPRO","PMP22/EMP/MP20/Claudin","3","91","56","23270","2.40","1.99e-2","5.84e-1","13.70"
"3","1.50","GOTERM_BP_DIRECT","bicellular tight junction assembly","3","77","68","20430","2.40","2.66e-2","1.00e+0","11.71"
"3","1.50","KEGG_PATHWAY","Hepatitis C","4","43","172","9898","3.20","3.61e-2","7.80e-1","5.35"
"3","1.50","GOTERM_CC_DIRECT","lateral plasma membrane","3","90","73","21433","2.40","3.70e-2","1.00e+0","9.79"
"3","1.50","GOTERM_CC_DIRECT","bicellular tight junction","3","90","139","21433","2.40","1.14e-1","1.00e+0","5.14"
"3","1.50","GOTERM_MF_DIRECT","structural molecule activity","3","72","163","18929","2.40","1.25e-1","1.00e+0","4.84"
"3","1.50","KEGG_PATHWAY","Tight junction","3","43","171","9898","2.40","1.64e-1","1.00e+0","4.04"
"3","1.50","KEGG_PATHWAY","Cell adhesion molecules","3","43","180","9898","2.40","1.77e-1","1.00e+0","3.84"
"4","0.96","UP_KW_DOMAIN","Transmembrane","32","61","5515","13513","25.60","5.77e-2","8.05e-1","1.29"
"4","0.96","UP_SEQ_FEATURE","TRANSMEM:Helical","33","88","6610","22289","26.40","9.18e-2","1.00e+0","1.26"
"4","0.96","UP_KW_CELLULAR_COMPONENT","Membrane","38","63","8392","15368","30.40","2.50e-1","1.00e+0","1.10"
"5","0.77","UP_SEQ_FEATURE","DOMAIN:RING-type","4","88","269","22289","3.20","8.82e-2","1.00e+0","3.77"
"5","0.77","INTERPRO","Znf_RING","4","91","279","23270","3.20","9.39e-2","1.00e+0","3.67"
"5","0.77","SMART","RING","3","40","227","11094","2.40","1.90e-1","1.00e+0","3.67"
"5","0.77","INTERPRO","Znf_RING/FYVE/PHD","4","91","459","23270","3.20","2.62e-1","1.00e+0","2.23"
"5","0.77","GOTERM_MF_DIRECT","ubiquitin protein ligase activity","3","72","338","18929","2.40","3.63e-1","1.00e+0","2.33"
"6","0.61","INTERPRO","WD40_repeat_CS","3","91","142","23270","2.40","1.05e-1","1.00e+0","5.40"
"6","0.61","UP_SEQ_FEATURE","REPEAT:WD","3","88","228","22289","2.40","2.24e-1","1.00e+0","3.33"
"6","0.61","SMART","WD40","3","40","273","11094","2.40","2.49e-1","1.00e+0","3.05"
"6","0.61","INTERPRO","WD40_rpt","3","91","275","23270","2.40","2.88e-1","1.00e+0","2.79"
"6","0.61","INTERPRO","WD40_repeat_dom_sf","3","91","304","23270","2.40","3.29e-1","1.00e+0","2.52"
"6","0.61","INTERPRO","WD40/YVTN_repeat-like_dom_sf","3","91","356","23270","2.40","4.01e-1","1.00e+0","2.15"
"7","0.53","SMART","PH","3","40","249","11094","2.40","2.18e-1","1.00e+0","3.34"
"7","0.53","INTERPRO","PH_domain","3","91","258","23270","2.40","2.63e-1","1.00e+0","2.97"
"7","0.53","UP_SEQ_FEATURE","DOMAIN:PH","3","88","257","22289","2.40","2.65e-1","1.00e+0","2.96"
"7","0.53","INTERPRO","PH-like_dom_sf","3","91","441","23270","2.40","5.11e-1","1.00e+0","1.74"

